genre,track_name,track_id,artists_track,album_name,release_date,popularity,duration_ms
rock,People Everywhere (Still Alive),0jaFQzTV7zKwuys2YGLpaC,Khruangbin,The Universe Smiles Upon You,2015-11-06,67,159013
rock,Little Black Submarines - 2021 Remaster,3BR01wZsCALix7hnhZltGs,The Black Keys,El Camino (2021 Remaster),2011,62,251333
rock,Lluvia Al Corazón,1A7KzKilAbUieIhQMtLWkY,Maná,Drama Y Luz,2011-04-11,50,248946
rock,I (Heart) You,23yZnQJXXBeQ2ah4pArrfA,KMFDM,Amnesia,2012-05-22,65,235946
rock,El Error,73fEYJ9v1gG6zkdlo31nTn,No Te Va Gustar,El Calor Del Pleno Invierno,2012-10-18,60,242520
rock,Welcome To Japan,7bfocP7GYoLOutUYpTI8tx,The Strokes,Comedown Machine,2013-03-25,61,230826
rock,Fallen Angel,2iptAVf9jZerlywLwiGhak,Three Days Grace,Human,2015-03-30,63,186146
rock,Sweet Emotion,0hIGUS1PQbv5NIrHIf6Fza,The Kooks,Listen,2014-01-01,57,308569
rock,Back In Black,2iEGj7kAwH7HAa5epwYwLB,AC/DC,Iron Man 2,2010-04-29,58,255640
rock,Afterlife,7rL602DQps4QmrrjbinLzP,Arcade Fire,Reflektor,2013,52,353086
rock,Avalanche,4EyPadLFhtWojU7mkT5hqT,Bring Me The Horizon,That's The Spirit,2015-09-11,62,262013
rock,Little Black Submarines,1PXsUXSM3LF2XNSkmIldPb,The Black Keys,El Camino,2011-12-06,59,251266
rock,Little Monster,5fpj84RsT9cOTfWUCxBTXu,Royal Blood,Royal Blood,2014-08-18,58,212309
rock,You Are a Memory,49fDs1J7JqHlUo6HbX2qJ5,Message To Bears,Maps,2013-11-12,59,221746
rock,Mírenla,0WuKq2LiraBFney78dzwoc,Ciro y los Persas,27,2012-11-19,64,256190
rock,End of Me,5Iuqf7d8G5SAvuKY7MKHbd,Ashes Remain,What I've Become,2011-08-23,59,170426
rock,La Melodía de Dios,7ESKEiE8LRLrDwdS2ZgUiR,Tan Bionica,Destinologia,2013-01-01,63,285306
rock,Stairway to Heaven (Live At The Kennedy Center Honors),6gOgTWY8trzXja4ZfmqFKt,Heart,Stairway to Heaven (Live At The Kennedy Center Honors),2013-01-15,58,478819
rock,One For the Money,3MAFVGKEVV9EgO1lQnPqcc,Escape the Fate,Ungrateful,2013-05-14,64,199950
rock,Jenny,2CASGo9Wmd6Dxrq3ygnRjf,NOTHING MORE,Nothing More,2014-06-23,70,236600
rock,God Is Dead?,3IKJNHnVZ2bXGjAFBJiUYo,Black Sabbath,13,2013-01-01,62,532266
rock,Future Starts Slow,0A0RBBTrgfq9eClnw6ZXT7,The Kills,Blood Pressures,2011-04-04,55,248200
rock,Diamond Eyes,6nmDEbjMZru5j55HIkX2yZ,Deftones,Diamond Eyes,2010-04-30,69,188266
rock,House of The Rising Sun,4ZmX8elKMkH0MfniNi0Adu,Five Finger Death Punch,"The Wrong Side Of Heaven And The Righteous Side Of Hell, Volume 2",2013-11-18,60,247388
rock,Ciudad Mágica,29Bjl63rfik8188v8J08hQ,Tan Bionica,Destinologia,2013-01-01,62,209520
rock,I Love Rock 'n' Roll,06qEGQMavekDfu9fVsFAMz,The Black Jets,"ReCovered Hits, Vol. 2",2010-08-02,56,177086
rock,Burning Love - with The Royal Philharmonic Orchestra,7E6IYKyvJ7dfYl3iTRmozl,"Elvis Presley, Royal Philharmonic Orchestra",If I Can Dream: Elvis Presley with the Royal Philharmonic Orchestra,2015-10-30,55,209760
rock,Taking Pictures Of You,4lMwlBtIrYootJyUTTs3SE,The Kooks,Junk Of The Heart,2011-01-01,54,161982
rock,When We Stand Together,4bCOAuhvjsxbVBM5MM8oik,Nickelback,Here and Now,2011-11-14,67,190786
rock,Rose Tattoo,4bLKGUkVRxIyrN1770DdDm,Dropkick Murphys,SIGNED and SEALED in BLOOD,2013-01-08,62,306520
rock,Please Please Please Let Me Get What I Want - 2005 Remaster,4HpIh5wWfkq5sSuCLLSwYR,Deftones,Covers,2011-04-16,66,124173
rock,It's My Life,6iNBM60VQtPUUhkKfwa5KV,Bon Jovi,Bon Jovi Greatest Hits - The Ultimate Collection (Deluxe),2010-11-09,56,224600
rock,Risk,0lqHgjNrXmtFroWDqwV1iQ,Deftones,Diamond Eyes,2010-04-30,71,218800
rock,El Verdadero Amor Perdona,1PiP8fqO3l5I9wA5RbN0qc,Maná,Drama Y Luz,2011-04-11,58,281146
rock,Never Fade,6p2LTUjGvJS2m0wX7oL03V,Jack Johnson,From Here To Now To You,2013-01-01,59,242746
rock,Right Here Waiting,2z8Fra4oOpOOLzYedOPY4I,Richard Marx,Stories To Tell,2010-11-01,58,266720
rock,Heart Of Gold,5vd1QZ0tdXOExiegC55IAS,Neil Young,"Eat, Pray, Love",2010-01-01,56,188440
rock,Be Somebody,33MnSYLvtOrbj5zwfioEiH,Thousand Foot Krutch,The End Is Where We Begin,2012-04-17,63,222435
rock,It's Time,73Sl9vnn0GKqM0P4Aceb1r,Bobby Alu,Bobby Alu,2010-10-01,55,226946
rock,Buried Alive,4veeNpXDK1YRHMTJ1Cppsg,Avenged Sevenfold,Nightmare,2010-07-25,67,404386
rock,Rise,1W0YS64vF9qgMVLuN76aqg,Skillet,Rise (Deluxe Edition),2013-06-21,63,260786
rock,Arrullo De Estrellas,1p4rYrxjVkj6v2eMzRhLfA,Zoé,Programaton,2013-01-01,72,252693
rock,Dead Inside,2daZovie6pc2ZK7StayD1K,Muse,Drones,2015-06-04,57,262947
rock,Beautiful,0oH7QF9L9fzDy6EFWlivCC,Tan Bionica,Obsesionario,2010-01-01,64,216386
rock,Until It's Gone,2n1jBz26dVBtSbMvJNjGsu,Linkin Park,The Hunting Party,2014-06-09,60,233240
rock,Devuélveme a mi chica - 2015 Remaster,1fAnXKGZR1iRAS9GAfkbIs,Hombres G,30 años y un día,2015-06-02,52,193960
rock,Mi Reina Del Dolor - 2020 Remasterizado,1ZmHZku3Vg67QNFz0Cp7rH,Maná,Drama Y Luz (2020 Remasterizado),2011,52,246253
rock,En Privado,0ZyNiSXRbq68lmBjV0vJkR,Babasonicos,A Propósito,2011-01-01,65,234626
rock,Porque las cosas cambian (feat. Carla Morrison) - MTV Unplugged,7zyDhhUz0jiWKaYl0Tu1ql,"Bunbury, Carla Morrison",MTV Unplugged. El Libro De Las Mutaciones,2015-11-27,53,285737
rock,Sprawl II (Mountains Beyond Mountains),0epAG0WWRlDMsMFJiE5c6I,Arcade Fire,The Suburbs (Deluxe),2010-07-01,56,325706
rock,Jump - 2015 Remaster,5FqYA8KfiwsQvyBI4IamnY,Van Halen,The Collection,2015-03-27,59,241599
rock,Ven y camina conmigo (feat. Pepe Aguilar) - MTV Unplugged,1FlYaJEsXJVRXHmSyaueQY,"Bunbury, Pepe Aguilar",MTV Unplugged. El Libro De Las Mutaciones,2015-11-27,57,278461
rock,Anastasia,3jaJeSphs7bS5Gt3i5LJL3,"Slash, Myles Kennedy, The Conspirators",Apocalyptic Love,2012-05-11,52,367280
rock,Astros,6iVP8SnhHnFNy7WYrIw1JB,Ciro y los Persas,27,2012-11-19,61,252818
rock,Carnivore,4j41Du0uMXJrfEY7Xe9CDO,STARSET,Transmissions (Deluxe Version),2014,59,262689
rock,Rope,7v0mtl6oInUtHOmTk2b0gC,Foo Fighters,Wasting Light,2011-04-12,58,259026
rock,The Beginning,4f3nDjgqXurMryYBSp0TZD,ONE OK ROCK,JINSEI KAKETE BOKU WA,2013-03-06,60,292733
rock,Future Days,22sDLvlzAJzH0BHiMSOfRP,Pearl Jam,Lightning Bolt,2013-01-01,56,262893
rock,It Has Begun,36ECEkodXYhLPyBHjZCEHh,STARSET,Transmissions (Deluxe Version),2014,58,316812
rock,50 Horas,5xiH2wHtpuOaNbxm9PAofT,Coti,Que Esperas (Versión Exclusiva),2015-03-17,56,213600
rock,Heaven Knows,7F5jxmwf1uWVqh6nbYz7rl,The Pretty Reckless,Going to Hell,2014-03-17,57,224854
rock,Paisaje,76lY4r2aBw8XC9BXJtKz3C,Vicentico,Solo Un Momento,2010,60,216666
