genre,album_name,album_id,release_date,total_tracks,popularity,artists_album,artist_followers,artist_popularity,artist_genres
rock,RECHARGED,2FUsvD1bw53HGOjAg56vRD,2013-10-25,14,50,Linkin Park,31248582,92,"nu metal, rap metal, rock, alternative metal"
rock,LIVING THINGS: Acapellas and Instrumentals,7qRKpkP0jSOlBMLYZhAMCh,2012-06-19,22,41,Linkin Park,31248582,92,"nu metal, rap metal, rock, alternative metal"
rock,LIVING THINGS,4XHIjbhjRmqWlosjj5rqSI,2012-06-19,12,75,Linkin Park,31248582,92,"nu metal, rap metal, rock, alternative metal"
rock,A Thousand Suns Live Around the World,0hJ3A7sih1AXDoMjXHLr7Q,2012-06-19,10,38,Linkin Park,31248582,92,"nu metal, rap metal, rock, alternative metal"
rock,Minutes to Midnight Live Around the World,7IYqppCBhR5z9z8JqgXuxi,2012-06-12,12,38,Linkin Park,31248582,92,"nu metal, rap metal, rock, alternative metal"
rock,Meteora Live Around the World,4flcwtqnLoKZJ2wrCp1aJq,2012-06-05,7,36,Linkin Park,31248582,92,"nu metal, rap metal, rock, alternative metal"
rock,Hybrid Theory Live Around the World,1FiRqhpAowNK8gTl5sOhxZ,2012-05-31,8,37,Linkin Park,31248582,92,"nu metal, rap metal, rock, alternative metal"
rock,A Thousand Suns (Bonus Edition),4fy0SXW5G8evBCo2A3kn02,2010-09-08,21,47,Linkin Park,31248582,92,"nu metal, rap metal, rock, alternative metal"
rock,A Thousand Suns,5uvXx5ZQswNRFCdHR521YZ,2010-09-08,15,65,Linkin Park,31248582,92,"nu metal, rap metal, rock, alternative metal"
rock,I'm with You,5wZtSIvijWCMc1vlPFqAyB,2011-08-29,14,60,Red Hot Chili Peppers,22998621,86,"funk rock, alternative rock, rock"
rock,The Diving Board (Deluxe Version),6NhOx6UV8nYDgrzPquDFLh,2013-09-16,19,29,Elton John,15342252,84,
rock,The Diving Board,7nXmwymeNTvJd1CnpEugH2,2013-09-16,15,20,Elton John,15342252,84,
rock,The Union (Deluxe),7hZmPWO4fh1zlDBQOdRwSg,2010-10-19,16,22,"Elton John, Leon Russell",15342252,84,
rock,The Union,5O3tJmTjdvIWSRyut7mTbZ,2010-01-01,14,28,"Elton John, Leon Russell",15342252,84,
rock,Smoke + Mirrors (Deluxe),0Ikw6ho559687KCPbSjr0K,2015-10-23,22,59,Imagine Dragons,58070654,89,
rock,Night Visions (Deluxe),1zcNZa89FXNruaesVKiVeu,2012-09-04,20,55,Imagine Dragons,58070654,89,
rock,Night Visions,6nxDQi0FeEwccEPJeNySoS,2012-09-04,14,78,Imagine Dragons,58070654,89,
rock,Loco De Amor (Tour Edition),3htJFw3Ad4OaE30FbwO5nu,2015-06-29,15,37,Juanes,5483398,77,"latin pop, colombian pop, rock en español"
rock,Loco De Amor,7bh3HOAz9lQmOEgDAXwy4v,2014-01-01,11,40,Juanes,5483398,77,"latin pop, colombian pop, rock en español"
rock,Tr3s Presents Juanes MTV Unplugged,6Zy2wrvOOW0sxTWy7nF9BH,2012-01-01,14,46,Juanes,5483398,77,"latin pop, colombian pop, rock en español"
rock,P.A.R.C.E.,3YC801MC9LJZQeoMHyujAc,2010-01-01,10,20,Juanes,5483398,77,"latin pop, colombian pop, rock en español"
rock,P.A.R.C.E. (Deluxe Version),5zl0FmMSVWelddFzNG5fBC,2010,13,43,Juanes,5483398,77,"latin pop, colombian pop, rock en español"
rock,A Night At The Odeon,4RjhFl7Eo8PouXAL8GMiXS,2015-11-13,19,34,Queen,54805657,86,"classic rock, rock, glam rock"
rock,Live At The Rainbow (Deluxe),1zPInImSAOeB2u5Dm03YJI,2014-01-01,41,30,Queen,54805657,86,"classic rock, rock, glam rock"
rock,Live At The Rainbow,4rxdf27orKcIWhwSEqoed9,2014-01-01,24,33,Queen,54805657,86,"classic rock, rock, glam rock"
rock,Hungarian Rhapsody (Live In Budapest / 1986),3BuEiPtiFc0kcnZvURQpn8,2012-01-01,27,45,Queen,54805657,86,"classic rock, rock, glam rock"
rock,Songs Of Innocence (Deluxe),6wQXpkptAIZPzNf5H0SA10,2014-01-01,21,51,U2,13508622,79,rock
rock,Songs Of Innocence,7DY6v8qiyQcsTCqUWjH7pS,2014-01-01,11,48,U2,13508622,79,rock
rock,Rock or Bust,6OwvO40ahugJE5PH4TjqTg,2014-11-28,11,55,AC/DC,31967923,84,"rock, hard rock, classic rock, rock and roll"
rock,Live at River Plate,4H6JMsvxmh0U7VBYiWiyLa,2012-11-19,19,55,AC/DC,31967923,84,"rock, hard rock, classic rock, rock and roll"
rock,V (Deluxe),4KXLjIEas8MTwwX3xpmAdC,2015-05-18,16,56,Maroon 5,45461795,89,pop
